ID,chemical_name,cas_rn,protected_cas_rn,DTXSID,PubChem_CID,InChI_string,InChIKey,smiles,S,S_unit,S_comment,S_AD,comment_compound,DTXSID_mixture_network
ID_0001,Pentachloronaphthalene,1321-64-8,CASRN_1321-64-8,DTXSID00872603,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0002,C14-17 chloro alkanes,85535-85-9,CASRN_85535-85-9,DTXSID2040313,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0003,"Boric acid (H3BO3), polymer with N-decyl-1-decanamine, oxirane and 1,2- propanediol",214710-34-6,CASRN_214710-34-6,DTXSID2048038,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0004,C10-13 chloro alkanes,85535-84-8,CASRN_85535-84-8,DTXSID40105260,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0005,Tris(methylphenyl) phosphate | isomers of TMPP,1330-78-5,CASRN_1330-78-5,DTXSID4021391,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0006,Nystatin,1400-61-9,CASRN_1400-61-9,DTXSID4040688,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0007,Heptachloronaphthalene,32241-08-0,CASRN_32241-08-0,DTXSID40872602,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0008,Demeton,8065-48-3,CASRN_8065-48-3,DTXSID5022306,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0009,"4-Nonylphenol, branched",84852-15-3,CASRN_84852-15-3,DTXSID5029055,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0010,Gentamicin,1403-66-3,CASRN_1403-66-3,DTXSID5034642,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0011,Tris(isopropylphenyl) phosphate,26967-76-0,CASRN_26967-76-0,DTXSID50858795,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0012,Bupropion,34911-55-2,CASRN_34911-55-2,DTXSID7022706,444,"InChI=1/C13H18ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,15H,1-4H3
",SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,338.641750947859,mg/L,OPERA 2.7,1,n/a,n/a
ID_0013,Ketotifen,34580-13-7,CASRN_34580-13-7,DTXSID7023190,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0014,Ivermectin,70288-86-7,CASRN_70288-86-7,DTXSID7040235,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
