ID,chemical_name,DTXSID,parent_or_TP,TP_of,use_group,use_group_details,additional_use_info,target_taxa,MoA_broad,MoA_specific,molecular_target,further_MoA_info,nontarget_taxa,nontarget_taxa_alert,source,MoA_comment,date_of_retrieval,PubChem_CID,InChIKey,comment_compound
ID_0001,Pentachloronaphthalene,DTXSID00872603,parent,n/a,Industrial Chemical,IC,used as cable insulation/wood preservation/engine oil additives/electroplating masking compounds/capacitors/dye production in the past,n/a,unknown,n/a,n/a,"some of the biochemical (e.g., drug metabolizing enzyme induction, hormonal changes) and toxic (e.g., skin disorders, weight loss, hepatotoxicity, reproductive toxicity) responses of PCNs are believed to be mediated via the cytosolic Ah receptor",n/a,toxicant,Concise International Chemical Assessment Document 34 on chlorinated naphthalenes (WHO 2001),info about chlorinated naphthalenes in general,7/23/2022,n/a,n/a,Mixture
ID_0002,C14-17 chloro alkanes,DTXSID2040313,parent,n/a,Industrial Chemical,IC Plasticizer/Coatings/Additive/Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, Scientific Committee on Health and Environmental Risks (Risk Assessment Report on Alkanes, C14-17, chloro, 2008)",n/a,7/23/2022,n/a,n/a,Mixture
ID_0003,"Boric acid (H3BO3), polymer with N-decyl-1-decanamine, oxirane and 1,2- propanediol",DTXSID2048038,parent,n/a,Biocide,B,wood preservative,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, ECHA 2022",n/a,10/7/2022,n/a,n/a,Mixture
ID_0004,C10-13 chloro alkanes,DTXSID40105260,parent,n/a,Industrial Chemical,IC Lubricant,"flame retardant, softener, manufacture of rubber products",n/a,unknown,n/a,n/a,n/a,aquatic species,suspected to be carcinogenic,"ECHA, CPDat",n/a,11/21/2021,n/a,n/a,Mixture
ID_0005,Tris(methylphenyl) phosphate | isomers of TMPP,DTXSID4021391,parent,n/a,Industrial Chemical,IC Flame retardant/Plasticizer,fuel additive,n/a,Neuroactive,"Cholinesterase inhibition, Neuropathy target esterase inhibition","Neuropathy target esterase, Cholinesterase",potentially causing liver dysfunction,vertebrates,potential endocrine effects,"CPDat, wikipedia, EDlist/3/2022, Mackerer et al. 1999 (doi: 10.1080/009841099157638), Crump et al. 2014 (doi: 10.1016/j.taap.2014.03.028)",n/a,12/22/2022,n/a,n/a,Mixture
ID_0006,Nystatin,DTXSID4040688,parent,n/a,Pharmaceutical,Ph Antifungal,n/a,fungi (in humans),Cell membrane disruption,"Ion transport disruption, Ergosterol binder",Ergosterol,Ionophore,n/a,n/a,"drugbank, Brescansin et al. 2013 (doi: 10.4025/actascihealthsci.v35i2.12769)","Commercial Nystatin is a mixture of compounds named NIS A1, A2 and A3",7/4/2022,n/a,n/a,Mixture
ID_0007,Heptachloronaphthalene,DTXSID40872602,parent,n/a,Industrial Chemical,IC,"cable insulation, wood preservation, engine oil additives, electroplating masking compound, capacitors, dye production in the past",n/a,unknown,n/a,n/a,"some of the biochemical (e.g., drug metabolizing enzyme induction, hormonal changes) and toxic (e.g., skin disorders, weight loss, hepatotoxicity, reproductive toxicity) responses of PCNs are believed to be mediated via the cytosolic Ah receptor",n/a,toxicant,Concise International Chemical Assessment Document 34 on chlorinated naphthalenes (WHO 2001),info about chlorinated naphthalenes in general,10/4/2022,n/a,n/a,Mixture
ID_0008,Demeton,DTXSID5022306,parent,n/a,Pesticide,I,obsolete,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"birds, mammals, aquatic invertebrates","potential reproduction/development effects, acetyl cholinesterase inhibitor and neurotoxicant in humans","PPDB, wikipedia",n/a,5/14/2022,n/a,n/a,Mixture
ID_0009,"4-Nonylphenol, branched",DTXSID5029055,parent,n/a,Industrial Chemical,IC Additive/Adhesive/Intermediate,n/a,n/a,Endocrine,n/a,Estrogen receptor,n/a,vertebrates,endorcine disruptor,"CPDat, UBA 2016, EDlist/1/ENV/2022",n/a,3/15/2022,n/a,n/a,Mixture
ID_0010,Gentamicin,DTXSID5034642,parent,n/a,Pharmaceutical,Ph Antibiotic,n/a,bacteria (in humans),Antibiotic,Protein biosynthesis inhibition,"30S ribosomal protein, 16S ribosomal RNA",bind to specific 30S-subunit proteins and 16S rRNA,n/a,n/a,drugbank,n/a,11/7/2021,n/a,n/a,Mixture
