ID,chemical_name,DTXSID,PubChem_CID,InChIKey,FISH_ACUTE_LC50_IRFMN_RECALCULATED,FISH_ACUTE_LC50_IRFMN_RECALCULATED_UNIT,FISH_ACUTE_LC50_IRFMN_RELIABILTY,FISH_ACUTE_LC50_IRFMN_RECALCULATED_S_AD,FISH_S_AD_COMMENT,FISH_ECOTOXDB_P5,FISH_ECOTOXDB_P5_UNIT,FISH_ECOTOXDB_GEOMEAN,FISH_ECOTOXDB_GEOMEAN_UNIT,FISH_ECOTOXDB_P5_S_AD,FISH_ECOTOXDB_GEOMEAN_S_AD,FISH_ECOTOXDB_S_AD_COMMENT,FISH_ECOTOXDB_datapoints
ID_0001,Pentachloronaphthalene,DTXSID00872603,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0002,C14-17 chloro alkanes,DTXSID2040313,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0003,"Boric acid (H3BO3), polymer with N-decyl-1-decanamine, oxirane and 1,2- propanediol",DTXSID2048038,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0004,C10-13 chloro alkanes,DTXSID40105260,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0005,Tris(methylphenyl) phosphate | isomers of TMPP,DTXSID4021391,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0006,Nystatin,DTXSID4040688,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0007,Heptachloronaphthalene,DTXSID40872602,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0008,Demeton,DTXSID5022306,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0009,"4-Nonylphenol, branched",DTXSID5029055,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0010,Gentamicin,DTXSID5034642,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0011,Tris(isopropylphenyl) phosphate,DTXSID50858795,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0012,Bupropion,DTXSID7022706,444,SNPPWIUOZRMYNY-UHFFFAOYSA-N,2.653,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0013,Ketotifen,DTXSID7023190,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0014,Ivermectin,DTXSID7040235,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0015,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, C7-9-branched alkyl esters",DTXSID7044211,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0016,Tetrachloronaphthalene,DTXSID70872599,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0017,Poly(pentabromobenzyl acrylate),DTXSID70872796,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0018,"Diisononyl cyclohexane-1,2-dicarboxylate",DTXSID8047395,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0019,Trichloronaphthalene,DTXSID80872601,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
