SMPT_EASTING,SMPT_NORTHING
636400,291600
636400,291600
620600,309500
636400,291600
619896,237783
620600,309500
636400,291600
636400,291600
623262,239869
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
594200,339700
636400,291600
620600,309500
614900,244800
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
604000,211000
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
651750,308000
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
634780,281020
620600,309500
620600,309500
580971,231102
620600,309500
620600,309500
620600,309500
636400,291600
642408,251726
620600,309500
620600,309500
636400,291600
559388,180415
636400,291600
636400,291600
620600,309500
636400,291600
634690,243840
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
616821,281844
621359,238325
636400,291600
620600,309500
620600,309500
621359,238325
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
604000,211000
636400,291600
636400,291600
628547,248844
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
594200,339700
636400,291600
620600,309500
635000,304400
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
621359,238325
620600,309500
620600,309500
637940,321792
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
627372,243235
620600,309500
620600,309500
624190,321010
628368,244146
620600,309500
636400,291600
620600,309500
620600,309500
630100,235483
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
594200,339700
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
624267,317490
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
617839,243544
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
582758,211604
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
629510,324960
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
602608,234523
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
598500,320910
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
605950,257820
585640,336240
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
644060,263120
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
641800,321800
636400,291600
636400,291600
620600,309500
636400,291600
619150,232850
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
564890,201498
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
609646,235667
620600,309500
620600,309500
623520,282200
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
597304,225369
631669,243629
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
591803,328871
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
645717,318249
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
586040,334660
604000,211000
620600,309500
620600,309500
604000,211000
636400,291600
620600,309500
594200,339700
630410,251485
620600,309500
620600,309500
604000,211000
636400,291600
607506,231238
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
634700,326100
613325,329800
585310,337780
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
652360,288240
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
635000,304400
636400,291600
620600,309500
574220,184640
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
603884,269860
620600,309500
636400,291600
636400,291600
621656,226452
603884,269860
620600,309500
619150,232850
636400,291600
651750,308000
621359,238325
619150,232850
636400,291600
621359,238325
594200,339700
636400,291600
636400,291600
651750,308000
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
621359,238325
624300,306800
636400,291600
636400,291600
636400,291600
624300,306800
636400,291600
636400,291600
620600,309500
636400,291600
624300,306800
636400,291600
620600,309500
636400,291600
624300,306800
636400,291600
621359,238325
620600,309500
621359,238325
621359,238325
620600,309500
636400,291600
621359,238325
636400,291600
620600,309500
635000,304400
620600,309500
620600,309500
636400,291600
604000,211000
636400,291600
636400,291600
620600,309500
565470,180100
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
615234,219445
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
585340,337780
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
586040,334660
602608,234523
620600,309500
636400,291600
621359,238325
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
592812,243454
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
628140,285750
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
604000,211000
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
604000,211000
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
580971,231102
620600,309500
620600,309500
597304,225369
605950,257820
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
604000,211000
621359,238325
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
635000,304400
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
582758,211604
620600,309500
620600,309500
614900,244800
620600,309500
573908,215793
620600,309500
636400,291600
636400,291600
641800,321800
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
594200,339700
613325,329800
594200,339700
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
604000,211000
636400,291600
636400,291600
604000,211000
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
633800,264800
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
604000,211000
636400,291600
620600,309500
636400,291600
620600,309500
604000,211000
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
651750,308000
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
598500,320910
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
604000,211000
636400,291600
620600,309500
636400,291600
594562,223272
636400,291600
620600,309500
620600,309500
636400,291600
621359,238325
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
604000,211000
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
619150,232850
620600,309500
636400,291600
620600,309500
645717,318249
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
585640,336240
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
621359,238325
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
595800,318470
604000,211000
620600,309500
636400,291600
636400,291600
604000,211000
621359,238325
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
630100,235483
633545,301604
620600,309500
651750,308000
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
617839,243544
620600,309500
636400,291600
620600,309500
624190,321010
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
635000,304400
620600,309500
620600,309500
620600,309500
574220,184640
620600,309500
636400,291600
636400,291600
627372,243235
636400,291600
636400,291600
634970,290270
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
640450,315180
619150,232850
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
629510,324960
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
594200,339700
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
594200,339700
585310,337780
620600,309500
620600,309500
559388,180415
636400,291600
620600,309500
620600,309500
615063,272326
559388,180415
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
624300,306800
636400,291600
636400,291600
636400,291600
624300,306800
636400,291600
624300,306800
636400,291600
636400,291600
624300,306800
636400,291600
636400,291600
636400,291600
624300,306800
620600,309500
620600,309500
636400,291600
636400,291600
624300,306800
620600,309500
624300,306800
636400,291600
624300,306800
636400,291600
621359,238325
620600,309500
636400,291600
624300,306800
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
624300,306800
636400,291600
636400,291600
624300,306800
636400,291600
636400,291600
620600,309500
651750,308000
636400,291600
624300,306800
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
624300,306800
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
624300,306800
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
574220,184640
636400,291600
636400,291600
624300,306800
620600,309500
594200,339700
636400,291600
624300,306800
636400,291600
620600,309500
636400,291600
624300,306800
621359,238325
636400,291600
636400,291600
624300,306800
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
624300,306800
624300,306800
624300,306800
636400,291600
636400,291600
624300,306800
624300,306800
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
624300,306800
651750,308000
636400,291600
636400,291600
624300,306800
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
624300,306800
624300,306800
620600,309500
620600,309500
620600,309500
636400,291600
624300,306800
620600,309500
620600,309500
620600,309500
624300,306800
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
624300,306800
624300,306800
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
594200,339700
624300,306800
624300,306800
620600,309500
624300,306800
620600,309500
636400,291600
624300,306800
624300,306800
621359,238325
620600,309500
620600,309500
624300,306800
620600,309500
624300,306800
636400,291600
636400,291600
620600,309500
636400,291600
624300,306800
585310,337780
636400,291600
624300,306800
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
624300,306800
624300,306800
621359,238325
620600,309500
594200,339700
624300,306800
624300,306800
620600,309500
620600,309500
624300,306800
633545,301604
624300,306800
620600,309500
620600,309500
620600,309500
636400,291600
624300,306800
636400,291600
624300,306800
636400,291600
620600,309500
620600,309500
620600,309500
624300,306800
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
604000,211000
624300,306800
636400,291600
620600,309500
624300,306800
636400,291600
624300,306800
620600,309500
620600,309500
624300,306800
620600,309500
624300,306800
636400,291600
636400,291600
620600,309500
636400,291600
624300,306800
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
624300,306800
604000,211000
636400,291600
636400,291600
620600,309500
620600,309500
624300,306800
624300,306800
624300,306800
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
624300,306800
624300,306800
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
624300,306800
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
624300,306800
624300,306800
624300,306800
636400,291600
620600,309500
636400,291600
620600,309500
624300,306800
620600,309500
621359,238325
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
624300,306800
636400,291600
620600,309500
620600,309500
620600,309500
624300,306800
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
624300,306800
624300,306800
620600,309500
636400,291600
636400,291600
624300,306800
620600,309500
624300,306800
636400,291600
624300,306800
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
635000,304400
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
635000,304400
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
559388,180415
620600,309500
636400,291600
636400,291600
602608,234523
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
594200,339700
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
594200,339700
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
594200,339700
620600,309500
627372,243235
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
614900,244800
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
651750,308000
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
619150,232850
620600,309500
620600,309500
636400,291600
636400,291600
636400,291600
620600,309500
636400,291600
636400,291600
620600,309500
559388,180415
636400,291600
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
620600,309500
620600,309500
620600,309500
620600,309500
636400,291600
