"correlation.component1"	"correlation.component2"	"weight.component1"	"weight.component2"	"blocks"
"X2.4.6.Trichlorophenol"	0.316240066264316	0.768048065782066	0.180396805635539	0.43433839092358	"chems_transformed"
"X2.4.Dichlorophenol"	0.348547774265825	0.763713821911686	0.254167342167712	0.574655964693666	"chems_transformed"
"X2.6.Dichlorobenzamide"	-0.917410198071185	0.298656112334661	-0.421650406150614	0.166634965462975	"chems_transformed"
"Atrazine"	0.39256503625982	0.811220714677326	0.227837393139923	0.495960248043405	"chems_transformed"
"Azoxystrobin"	-0.917410198071185	0.298656112334661	-0.421650406150614	0.166634965462975	"chems_transformed"
"Boscalid..Nicobifen."	-0.298814249048875	0.0493294425763075	-0.299696444195716	0.125721531535263	"chems_transformed"
"Diazinon..Dimpylate."	0.075679216574384	-0.396844958920296	0.0372082063410463	-0.232789067985531	"chems_transformed"
"Dichlorprop"	0.0657883191267058	-0.36638565120511	0.0344324496714764	-0.211815901856039	"chems_transformed"
"Ethofumesate"	-0.136633877776156	-0.14269531023271	-0.0977769457381626	-0.0282350878289536	"chems_transformed"
"Flufenacet..Fluthiamide...BAY.FOE.5043."	-0.155106216384423	-0.136831697164955	-0.106295023921959	-0.0249223343687225	"chems_transformed"
"Fluopicolid"	-0.917410198071185	0.298656112334661	-0.421650406150614	0.166634965462975	"chems_transformed"
"Propiconazole"	0.134273126192743	-0.107897722226888	0.130316997094768	-0.083648531661998	"chems_transformed"
"Terbutryn"	-0.136633877776156	-0.14269531023271	-0.0977769457381626	-0.0282350878289536	"chems_transformed"
"Triallate"	-0.917410198071185	0.298656112334661	-0.421650406150614	0.166634965462975	"chems_transformed"
"Anguilla.anguilla"	0.00786827197192048	0.160953963359488	0.0239629444729133	0.142740274035738	"fish_pops_transformed"
"Oncorhynchus.mykiss"	-0.84811223100626	-0.342223716514511	-0.795077308983	-0.338460905445527	"fish_pops_transformed"
"Phoxinus.phoxinus"	0.341831540211785	-0.0745246917480047	0.229904789035286	0.00102399459123567	"fish_pops_transformed"
"Platichthys.flesus"	0.51627297598683	-0.77577698028581	0.479131652672239	-0.778166116335707	"fish_pops_transformed"
"Rutilus.rutilus"	0.141485727361998	0.58763028319856	0.124803963371085	0.48706742108251	"fish_pops_transformed"
"Salmo.trutta"	0.320062717905179	0.15023500259313	0.263208032068967	0.149302390454105	"fish_pops_transformed"
"X2.4.6.Trichlorophenol1"	0.326903393065837	0.612199855624557	0.140907691154995	0.296012654763986	"superblock"
"X2.4.Dichlorophenol1"	0.460585575606124	0.814002775377769	0.1985297534825	0.38728015146613	"superblock"
"X2.6.Dichlorobenzamide1"	-0.764087523460389	0.294690711869738	-0.329350539195713	0.130270713992535	"superblock"
"Atrazine1"	0.412872149383797	0.69724537593518	0.177963467329795	0.336739332675959	"superblock"
"Azoxystrobin1"	-0.764087523460389	0.294690711869738	-0.329350539195713	0.130270713992535	"superblock"
"Boscalid..Nicobifen.1"	-0.543090461896988	0.199682978742709	-0.23409247104019	0.108432994706053	"superblock"
"Diazinon..Dimpylate.1"	0.0674262987081717	-0.342233607928485	0.029063277639893	-0.164035718636832	"superblock"
"Dichlorprop1"	0.0623962524697656	-0.311224036886989	0.0268951380093755	-0.149409574764388	"superblock"
"Ethofumesate1"	-0.177185040571044	-0.0330509570368131	-0.0763734347934458	-0.0148342689951904	"superblock"
"Flufenacet..Fluthiamide...BAY.FOE.5043.1"	-0.192620949487906	-0.0271788946193249	-0.0830268936821879	-0.0122386495544874	"superblock"
"Fluopicolid1"	-0.764087523460389	0.294690711869738	-0.329350539195713	0.130270713992535	"superblock"
"Propiconazole1"	0.236152011530064	-0.129214742562589	0.101790423140721	-0.0672345670554197	"superblock"
"Terbutryn1"	-0.177185040571044	-0.0330509570368131	-0.0763734347934458	-0.0148342689951904	"superblock"
"Triallate1"	-0.764087523460389	0.294690711869738	-0.329350539195713	0.130270713992535	"superblock"
"Anguilla.anguilla1"	0.0227250461896623	-0.138236036503783	0.0149626472623624	-0.101012765818627	"superblock"
"Oncorhynchus.mykiss1"	-0.754004525254172	0.259004299303522	-0.496452401084022	0.202848565321166	"superblock"
"Phoxinus.phoxinus1"	0.218028170784985	0.0273400118276811	0.143554322639742	0.00971567784644066	"superblock"
"Platichthys.flesus1"	0.454380259913949	0.800025224569662	0.299173497617167	0.580788652676205	"superblock"
"Rutilus.rutilus1"	0.118356733475167	-0.462204918954786	0.0779285568589938	-0.342746451099185	"superblock"
"Salmo.trutta1"	0.249611006402762	-0.118804973644383	0.164349124329032	-0.0937029408422187	"superblock"
