SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING
649100,286900
649100,286900
649162,287207
649162,287207
649162,287207
649162,287207
649162,287207
649162,287207
649183,286887
649183,286887
649183,286887
649183,286887
651040,286065
651040,286065
651040,286065
651040,286065
651040,286065
639607,276890
639607,276890
639607,276890
639607,276890
639607,276890
639746,276813
639746,276813
639746,276813
640381,276961
640381,276961
640381,276961
640381,276961
640381,276961
640441,276951
640441,276951
640441,276951
640441,276951
640441,276951
640441,276951
640441,276951
646100,278100
646100,278100
646100,278100
646100,278100
646100,278100
646168,278082
646168,278082
646168,278082
646168,278082
646100,277800
646100,277800
646100,277800
646100,277800
646100,277800
646100,277800
646119,277932
646119,277932
646119,277932
646119,277932
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635900,260200
635960,260228
635960,260228
635960,260228
635960,260228
635960,260228
635960,260228
637292,258117
637292,258117
637292,258117
637292,258117
637292,258117
637292,258117
637292,258117
637292,258117
637292,258117
637292,258117
637292,258117
637321,258133
637321,258133
637321,258133
637321,258133
637321,258133
637321,258133
637321,258133
637321,258133
637321,258133
635960,260228
635960,260228
635960,260228
635960,260228
635960,260228
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
622600,260600
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626300,259800
626322,259848
626322,259848
626322,259848
626322,259848
626322,259848
626322,259848
627000,259000
627000,259000
627000,259000
627000,259000
627000,259000
629100,257500
629100,257500
629100,257500
629100,257500
629100,257500
629100,257500
629100,257500
631000,255800
631000,255800
631000,255800
631000,255800
631000,255800
631000,255800
631000,255800
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
630000,252000
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625002,243202
625015,243228
625015,243228
625015,243228
625015,243228
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
627100,242000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606348,257143
606348,257143
606348,257143
606348,257143
606348,257143
606348,257143
606348,257143
606348,257143
606348,257143
606348,257143
606348,257143
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606300,257000
606354,257157
606354,257157
606354,257157
606354,257157
606354,257157
606354,257157
606354,257157
606354,257157
606354,257157
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
609400,254900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612721,250051
612721,250051
612721,250051
612721,250051
612721,250051
612721,250051
612721,250051
612721,250051
612721,250051
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612600,249900
612711,250046
612711,250046
612711,250046
612711,250046
612711,250046
612711,250046
612711,250046
612711,250046
612711,250046
612711,250046
612711,250046
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612800,246200
612834,246302
612834,246302
612834,246302
612834,246302
612834,246302
612834,246302
612834,246302
612834,246302
612834,246302
609200,244300
609200,244300
609200,244300
609200,244300
609200,244300
609168,244375
609168,244375
609168,244375
613200,241900
613200,241900
613200,241900
613200,241900
613200,241900
613200,241900
613200,241900
613200,241900
613200,241900
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
613000,244500
