,EVENT_DATE_YEAR,SPCSNO,SPECIES_NAME
553,2009,1.0,Mirror carp
666,2008,1.0,Mirror carp
1308,2003,3.0,Rainbow trout
1805,2013,,Koi carp
2006,2003,1.0,Mirror carp
2016,2003,2.0,Mirror carp
3102,2006,1.0,Mirror carp
4197,2003,1.0,Mirror carp
4337,2006,1.0,Mirror carp
5291,2006,2.0,Mirror carp
5533,2003,4.0,Rainbow trout
6060,2018,1.0,Rainbow trout
6096,2006,12.0,Rainbow trout
6126,2015,1.0,Rainbow trout
6140,2018,4.0,Rainbow trout
6157,2006,1.0,Rainbow trout
6259,2018,1.0,Rainbow trout
6282,2015,1.0,Rainbow trout
6649,2005,1.0,Koi carp
6650,2005,3.0,Mirror carp
6674,2003,2.0,Mirror carp
6683,2004,2.0,Mirror carp
6792,2004,2.0,Mirror carp
7443,2003,1.0,Mirror carp
9321,2005,1.0,Mirror carp
9778,2013,1.0,Mirror carp
9912,2005,1.0,Mirror carp
9946,2009,1.0,Mirror carp
10444,2016,1.0,Mirror carp
10635,2006,1.0,Mirror carp
10753,2004,2.0,Mirror carp
10762,2007,1.0,Mirror carp
10779,2004,1.0,Mirror carp
10842,2006,1.0,Mirror carp
12001,2018,2.0,Rainbow trout
12998,2009,1.0,Mirror carp
14338,2008,1.0,Koi carp
15434,2003,2.0,Mirror carp
15487,2009,1.0,Mirror carp
16285,2003,1.0,Mirror carp
16685,2007,3.0,Mirror carp
18039,2004,,Mirror carp
18990,2003,,Common carp varieties
20217,2010,1.0,Mirror carp
20756,2009,1.0,Common carp varieties
21162,2003,8.0,Common carp varieties
21490,2010,2.0,Rainbow trout
21520,2019,1.0,Koi carp
22508,2009,1.0,Mirror carp
22884,2004,1.0,Mirror carp
23394,2010,1.0,Mirror carp
24088,2003,2.0,Mirror carp
24881,2023,,Rainbow trout
24940,2004,2.0,Mirror carp
24956,2006,1.0,Mirror carp
24987,2010,1.0,Common carp varieties
25303,2003,,Mirror carp
25305,2003,,Mirror carp
25441,2003,1.0,Common carp varieties
25515,2008,1.0,Common carp varieties
25530,2010,1.0,Common carp varieties
26279,2003,1.0,Mirror carp
26336,2009,3.0,Common carp varieties
26353,2011,1.0,Common carp varieties
26584,2003,,Mirror carp
26614,2003,,Mirror carp
26660,2004,,Mirror carp
26668,2004,,Mirror carp
27159,2005,,Mirror carp
27283,2023,1.0,Mirror carp
27452,2009,2.0,Mirror carp
27487,2016,14.0,Common carp varieties
27515,2007,2.0,Mirror carp
27563,2012,1.0,Mirror carp
27570,2016,4.0,Mirror carp
27588,2007,3.0,Common carp varieties
27640,2016,9.0,Mirror carp
27703,2016,,Mirror carp
27997,2006,,Rainbow trout
29104,2019,1.0,Mirror carp
29318,2008,,Common carp varieties
29333,2008,,Common carp varieties
29596,2009,,Common carp varieties
29648,2009,,Common carp varieties
29654,2009,,Common carp varieties
29888,2009,,Common carp varieties
29925,2009,,Common carp varieties
29931,2010,,Common carp varieties
30378,2011,1.0,Common carp varieties
30601,2011,,Common carp varieties
30609,2011,,Common carp varieties
31274,2013,,Rainbow trout
31282,2013,12.0,Rainbow trout
31420,2014,,Common carp varieties
