,EVENT_DATE_YEAR,EVENT_DATE,LAT,LONG,SPCSNO,LATIN_NAME
0,2004,2004-06-02,52.4233,1.6622773,196.0,Rutilus rutilus
1,2004,2004-06-02,52.4233,1.6622773,15.0,Esox lucius
2,2010,2010-04-29,52.426026,1.6634158,11.0,Rutilus rutilus
3,2010,2010-04-29,52.426026,1.6634158,2.0,Esox lucius
4,2016,2016-05-25,52.426026,1.6634158,74.0,Rutilus rutilus
5,2016,2016-05-25,52.426026,1.6634158,9.0,Esox lucius
6,2016,2016-05-25,52.426026,1.6634158,13.0,Gasterosteus aculeatus
8,2010,2010-04-27,52.423146,1.6634857,60.0,Rutilus rutilus
9,2010,2010-04-27,52.423146,1.6634857,6.0,Esox lucius
10,2010,2010-04-27,52.423146,1.6634857,4.0,Gobio gobio
11,2010,2010-04-27,52.423146,1.6634857,2.0,Gasterosteus aculeatus
12,2010,2010-05-06,52.414923,1.6901201,618.0,Rutilus rutilus
13,2010,2010-05-06,52.414923,1.6901201,38.0,Esox lucius
14,2010,2010-05-06,52.414923,1.6901201,6.0,Perca fluviatilis
15,2016,2016-06-16,52.414923,1.6901201,3.0,Esox lucius
16,2016,2016-06-16,52.414923,1.6901201,4.0,Rutilus rutilus
17,2010,2010-05-19,52.337717,1.5157984,3.0,Esox lucius
18,2010,2010-05-19,52.337717,1.5157984,4.0,Gasterosteus aculeatus
20,2010,2010-05-19,52.337717,1.5157984,25.0,Anguilla anguilla
21,2010,2010-05-19,52.337717,1.5157984,1.0,Gobio gobio
22,2016,2016-08-01,52.336965,1.5177797,9.0,Anguilla anguilla
23,2016,2016-08-01,52.336965,1.5177797,8.0,Gasterosteus aculeatus
26,2010,2010-05-07,52.338016,1.5271875,8.0,Esox lucius
27,2010,2010-05-07,52.338016,1.5271875,5.0,Gasterosteus aculeatus
28,2010,2010-05-07,52.338016,1.5271875,3.0,Rutilus rutilus
29,2010,2010-05-07,52.338016,1.5271875,25.0,Anguilla anguilla
32,2016,2016-06-07,52.3379,1.5280593,2.0,Esox lucius
33,2016,2016-06-07,52.3379,1.5280593,1.0,Scardinius erythrophthalmus
34,2016,2016-06-07,52.3379,1.5280593,37.0,Anguilla anguilla
35,2016,2016-06-07,52.3379,1.5280593,3.0,Gasterosteus aculeatus
36,2016,2016-06-07,52.3379,1.5280593,1.0,Pungitius pungitius
37,2010,2010-07-28,52.345702,1.6117929,1.0,Esox lucius
39,2010,2010-07-28,52.345702,1.6117929,4.0,Gasterosteus aculeatus
40,2010,2010-07-28,52.345702,1.6117929,3.0,Platichthys flesus
41,2010,2010-07-28,52.345702,1.6117929,1.0,Anguilla anguilla
42,2016,2016-07-15,52.34551,1.6127759,1.0,Esox lucius
43,2016,2016-07-15,52.34551,1.6127759,18.0,Gasterosteus aculeatus
44,2016,2016-07-15,52.34551,1.6127759,6.0,Pungitius pungitius
45,2016,2016-07-15,52.34551,1.6127759,1.0,Anguilla anguilla
46,2004,2004-05-27,52.34301,1.6115733,9.0,Esox lucius
47,2004,2004-05-27,52.34301,1.6115733,6.0,Gasterosteus aculeatus
48,2004,2004-05-27,52.34301,1.6115733,10.0,Anguilla anguilla
50,2010,2010-07-28,52.34301,1.6115733,1.0,Esox lucius
51,2010,2010-07-28,52.34301,1.6115733,1.0,Gasterosteus aculeatus
52,2016,2016-07-15,52.344186,1.6119483,1.0,Esox lucius
53,2016,2016-07-15,52.344186,1.6119483,33.0,Gasterosteus aculeatus
54,2016,2016-07-15,52.344186,1.6119483,6.0,Pungitius pungitius
55,2016,2016-07-15,52.344186,1.6119483,1.0,Anguilla anguilla
57,2003,2003-03-26,52.189547,1.4498348,6.0,Rutilus rutilus
60,2003,2003-03-26,52.189547,1.4498348,1.0,Gobio gobio
61,2003,2003-03-26,52.189547,1.4498348,4.0,Anguilla anguilla
62,2003,2003-03-26,52.189547,1.4498348,2.0,Gasterosteus aculeatus
66,2010,2010-07-26,52.189547,1.4498348,1.0,Carassius auratus
67,2010,2010-07-26,52.189547,1.4498348,7.0,Gasterosteus aculeatus
68,2010,2010-07-26,52.189547,1.4498348,4.0,Rutilus rutilus
70,2016,2016-07-05,52.189773,1.4507304,29.0,Salmo trutta
71,2016,2016-07-05,52.189773,1.4507304,2.0,Scardinius erythrophthalmus
72,2016,2016-07-05,52.189773,1.4507304,5.0,Rutilus rutilus
73,2016,2016-07-05,52.189773,1.4507304,1.0,Anguilla anguilla
74,2016,2016-07-05,52.189773,1.4507304,1.0,Gasterosteus aculeatus
78,2003,2003-03-25,52.170258,1.4687035,2.0,Salmo trutta
79,2003,2003-03-25,52.170258,1.4687035,25.0,Rutilus rutilus
80,2003,2003-03-25,52.170258,1.4687035,1.0,Scardinius erythrophthalmus
81,2003,2003-03-25,52.170258,1.4687035,7.0,Platichthys flesus
83,2003,2003-03-25,52.170258,1.4687035,1.0,Gasterosteus aculeatus
84,2003,2003-03-25,52.170258,1.4687035,34.0,Anguilla anguilla
86,2010,2010-07-14,52.170389,1.469138,53.0,Salmo trutta
87,2010,2010-07-14,52.170389,1.469138,8.0,Rutilus rutilus
89,2010,2010-07-14,52.170389,1.469138,3.0,Gasterosteus aculeatus
