"correlation.component1"	"correlation.component2"	"weight.component1"	"weight.component2"	"blocks"
"X2.4.6.Trichlorophenol"	0.132512719347607	0.274399090146185	0.0654897274053906	0.15633287827835	"chems_transformed"
"X2.4.Dichlorophenol"	0.149702178887056	0.285095451750062	0.0739850101603347	0.162426896286023	"chems_transformed"
"X2.6.Dichlorobenzamide"	-0.989924101387433	-0.0472423748437752	-0.489234994731545	-0.0269153094935462	"chems_transformed"
"Atrazine"	0.185011367226255	0.335623097651463	0.0914353283684602	0.191213917089143	"chems_transformed"
"Azoxystrobin"	-0.989924101387433	-0.0472423748437752	-0.489234994731545	-0.0269153094935462	"chems_transformed"
"Boscalid..Nicobifen."	-0.193898008369366	0.0207362735996896	-0.0958272366235854	0.0118140382130268	"chems_transformed"
"Diazinon..Dimpylate."	0.0886959447460283	0.0886276770946666	0.043834835417902	0.0504936800189534	"chems_transformed"
"Dichlorprop"	0.0763253112990726	0.0798847635589159	0.0377210871206691	0.0455125963103504	"chems_transformed"
"Ethofumesate"	0.12565634501895	-0.962463957513076	0.0621012067563262	-0.548342782904385	"chems_transformed"
"Flufenacet..Fluthiamide...BAY.FOE.5043."	0.105942651040831	-0.964180458161305	0.0523584103580902	-0.54932072159493	"chems_transformed"
"Fluopicolid"	-0.989924101387433	-0.0472423748437752	-0.489234994731545	-0.0269153094935462	"chems_transformed"
"Propiconazole"	0.0781471830753512	0.0753640374762308	0.0386214828455736	0.0429370115296658	"chems_transformed"
"Terbutryn"	0.12565634501895	-0.962463957513076	0.0621012067563262	-0.548342782904385	"chems_transformed"
"Triallate"	-0.989924101387433	-0.0472423748437752	-0.489234994731545	-0.0269153094935462	"chems_transformed"
"X2.4.6.Trichlorophenol1"	0.132512719347607	0.274399090146185	0.0654897274053908	0.15633287827835	"superblock"
"X2.4.Dichlorophenol1"	0.149702178887056	0.285095451750062	0.0739850101603349	0.162426896286023	"superblock"
"X2.6.Dichlorobenzamide1"	-0.989924101387433	-0.047242374843775	-0.489234994731546	-0.0269153094935462	"superblock"
"Atrazine1"	0.185011367226255	0.335623097651463	0.0914353283684604	0.191213917089143	"superblock"
"Azoxystrobin1"	-0.989924101387433	-0.047242374843775	-0.489234994731546	-0.0269153094935462	"superblock"
"Boscalid..Nicobifen.1"	-0.193898008369366	0.0207362735996897	-0.0958272366235854	0.0118140382130269	"superblock"
"Diazinon..Dimpylate.1"	0.0886959447460283	0.0886276770946664	0.043834835417902	0.0504936800189533	"superblock"
"Dichlorprop1"	0.0763253112990726	0.0798847635589157	0.0377210871206691	0.0455125963103503	"superblock"
"Ethofumesate1"	0.12565634501895	-0.962463957513076	0.0621012067563262	-0.548342782904385	"superblock"
"Flufenacet..Fluthiamide...BAY.FOE.5043.1"	0.105942651040831	-0.964180458161305	0.0523584103580902	-0.54932072159493	"superblock"
"Fluopicolid1"	-0.989924101387433	-0.047242374843775	-0.489234994731546	-0.0269153094935462	"superblock"
"Propiconazole1"	0.0781471830753512	0.0753640374762308	0.0386214828455735	0.0429370115296658	"superblock"
"Terbutryn1"	0.12565634501895	-0.962463957513076	0.0621012067563262	-0.548342782904385	"superblock"
"Triallate1"	-0.989924101387433	-0.047242374843775	-0.489234994731546	-0.0269153094935462	"superblock"
